PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28131433","The effect of mindfulness meditation training on biological acute stress responses in generalized anxiety disorder","Hoge EA, Bui E, Palitz SA, Schwarz NR, Owens ME, Johnston JM, Pollack MH, Simon NM.","Psychiatry Res. 2018 Apr;262:328-332. doi: 10.1016/j.psychres.2017.01.006. Epub 2017 Jan 26.","Hoge EA","Psychiatry Res","2018","2017/01/30","PMC5526744","NIHMS847020","10.1016/j.psychres.2017.01.006"
"32087339","Treatment for anxiety: Mindfulness meditation versus escitalopram (TAME): Design of a randomized, controlled non-inferiority trial","Hoge EA, Bui E, Mete M, Philip SR, Gabriel C, Ward MJ, Suzuki R, Dutton MA, Simon NM.","Contemp Clin Trials. 2020 Apr;91:105965. doi: 10.1016/j.cct.2020.105965. Epub 2020 Feb 19.","Hoge EA","Contemp Clin Trials","2020","2020/02/23","","","10.1016/j.cct.2020.105965"
"25376753","Effects of mindfulness meditation on chronic pain: a randomized controlled trial","la Cour P, Petersen M.","Pain Med. 2015 Apr;16(4):641-52. doi: 10.1111/pme.12605. Epub 2014 Nov 7.","la Cour P","Pain Med","2015","2014/11/08","","","10.1111/pme.12605"
"25066651","Effects of mindfulness-based stress reduction on depression, anxiety, stress and mindfulness in Korean nursing students","Song Y, Lindquist R.","Nurse Educ Today. 2015 Jan;35(1):86-90. doi: 10.1016/j.nedt.2014.06.010. Epub 2014 Jul 9.","Song Y","Nurse Educ Today","2015","2014/07/29","","","10.1016/j.nedt.2014.06.010"
"25053754","Mindfulness-based stress reduction as a stress management intervention for healthy individuals: a systematic review","Sharma M, Rush SE.","J Evid Based Complementary Altern Med. 2014 Oct;19(4):271-86. doi: 10.1177/2156587214543143. Epub 2014 Jul 22.","Sharma M","J Evid Based Complementary Altern Med","2014","2014/07/24","","","10.1177/2156587214543143"
"31975898","Qigong and Tai-Chi for Mood Regulation","Yeung A, Chan JSM, Cheung JC, Zou L.","Focus (Am Psychiatr Publ). 2018 Jan;16(1):40-47. doi: 10.1176/appi.focus.20170042. Epub 2018 Jan 24.","Yeung A","Focus (Am Psychiatr Publ)","2018","2020/01/25","PMC6519567","","10.1176/appi.focus.20170042"
"31896910","Effect of anapanasati meditation on anxiety: a randomized control trial","Sivaramappa B, Deshpande S, Kumar PVG, Nagendra HR.","Ann Neurosci. 2019 Jan;26(1):32-36. doi: 10.5214/ans.0972.7531.260107. Epub 2019 Jan 1.","Sivaramappa B","Ann Neurosci","2019","2020/01/04","PMC6894628","","10.5214/ans.0972.7531.260107"
"32554380","Effectiveness of an 8-Week Web-Based Mindfulness Virtual Community Intervention for University Students on Symptoms of Stress, Anxiety, and Depression: Randomized Controlled Trial","El Morr C, Ritvo P, Ahmad F, Moineddin R; MVC Team.","JMIR Ment Health. 2020 Jul 17;7(7):e18595. doi: 10.2196/18595.","El Morr C","JMIR Ment Health","2020","2020/06/20","PMC7395254","","10.2196/18595"
"31649501","Brief Mindfulness Meditation Improves Emotion Processing","Wu R, Liu LL, Zhu H, Su WJ, Cao ZY, Zhong SY, Liu XH, Jiang CL.","Front Neurosci. 2019 Oct 10;13:1074. doi: 10.3389/fnins.2019.01074. eCollection 2019.","Wu R","Front Neurosci","2019","2019/10/26","PMC6795685","","10.3389/fnins.2019.01074"
"25041058","Meditation for migraines: a pilot randomized controlled trial","Wells RE, Burch R, Paulsen RH, Wayne PM, Houle TT, Loder E.","Headache. 2014 Oct;54(9):1484-95. doi: 10.1111/head.12420. Epub 2014 Jul 18.","Wells RE","Headache","2014","2014/07/22","","","10.1111/head.12420"
"29420050","Happier Healers: Randomized Controlled Trial of Mobile Mindfulness for Stress Management","Yang E, Schamber E, Meyer RML, Gold JI.","J Altern Complement Med. 2018 May;24(5):505-513. doi: 10.1089/acm.2015.0301. Epub 2018 Feb 8.","Yang E","J Altern Complement Med","2018","2018/02/09","","","10.1089/acm.2015.0301"
"24491199","Internet-based mindfulness treatment for anxiety disorders: a randomized controlled trial","Boettcher J, Aström V, Påhlsson D, Schenström O, Andersson G, Carlbring P.","Behav Ther. 2014 Mar;45(2):241-53. doi: 10.1016/j.beth.2013.11.003. Epub 2013 Nov 25.","Boettcher J","Behav Ther","2014","2014/02/05","","","10.1016/j.beth.2013.11.003"
"26576819","A Randomized Controlled Trial Examining the Effect of Mindfulness Meditation on Working Memory Capacity in Adolescents","Quach D, Jastrowski Mano KE, Alexander K.","J Adolesc Health. 2016 May;58(5):489-96. doi: 10.1016/j.jadohealth.2015.09.024. Epub 2015 Nov 11.","Quach D","J Adolesc Health","2016","2015/11/19","","","10.1016/j.jadohealth.2015.09.024"
"31926321","The chronic pain skills study: Protocol for a randomized controlled trial comparing hypnosis, mindfulness meditation and pain education in Veterans","Williams RM, Ehde DM, Day M, Turner AP, Hakimian S, Gertz K, Ciol M, McCall A, Kincaid C, Pettet MW, Patterson D, Suri P, Jensen MP.","Contemp Clin Trials. 2020 Mar;90:105935. doi: 10.1016/j.cct.2020.105935. Epub 2020 Jan 9.","Williams RM","Contemp Clin Trials","2020","2020/01/12","PMC7072005","NIHMS1552022","10.1016/j.cct.2020.105935"
"27092397","A Peer-Support and Mindfulness Program to Improve the Mental Health of Medical Students","Moir F, Henning M, Hassed C, Moyes SA, Elley CR.","Teach Learn Med. 2016 Jul-Sep;28(3):293-302. doi: 10.1080/10401334.2016.1153475. Epub 2016 Apr 19.","Moir F","Teach Learn Med","2016","2016/04/20","","","10.1080/10401334.2016.1153475"
"31789601","Effects of a 12-Minute Smartphone-Based Mindful Breathing Task on Heart Rate Variability for Students With Clinically Relevant Chronic Pain, Depression, and Anxiety: Protocol for a Randomized Controlled Trial","Azam MA, Latman VV, Katz J.","JMIR Res Protoc. 2019 Dec 2;8(12):e14119. doi: 10.2196/14119.","Azam MA","JMIR Res Protoc","2019","2019/12/03","PMC6915453","","10.2196/14119"
"31296508","Efficacy of mindfulness-based intervention ('mindfulness-based joyful sleep') in young and middle-aged individuals with insomnia using a biomarker of inflammatory responses: a prospective protocol of a randomised controlled trial in China","Pan C, Wang X, Deng Y, Li P, Liao Y, Ma X, Yang GP, Dai L, Tang Q.","BMJ Open. 2019 Jul 10;9(7):e027061. doi: 10.1136/bmjopen-2018-027061.","Pan C","BMJ Open","2019","2019/07/13","PMC6624060","","10.1136/bmjopen-2018-027061"
"33094652","Differential effects of mindfulness meditation conditions on repetitive negative thinking and subjective time perspective: a randomized active-controlled study","Feruglio S, Matiz A, Grecucci A, Pascut S, Fabbro F, Crescentini C.","Psychol Health. 2020 Oct 23:1-24. doi: 10.1080/08870446.2020.1836178. Online ahead of print.","Feruglio S","Psychol Health","2020","2020/10/23","","","10.1080/08870446.2020.1836178"
"17765453","Mindfulness-based cognitive therapy for generalized anxiety disorder","Evans S, Ferrando S, Findler M, Stowell C, Smart C, Haglin D.","J Anxiety Disord. 2008 May;22(4):716-21. doi: 10.1016/j.janxdis.2007.07.005. Epub 2007 Jul 22.","Evans S","J Anxiety Disord","2008","2007/09/04","","","10.1016/j.janxdis.2007.07.005"
"24099232","Enhancing the resilience of nurses and midwives: pilot of a mindfulness-based program for increased health, sense of coherence and decreased depression, anxiety and stress","Foureur M, Besley K, Burton G, Yu N, Crisp J.","Contemp Nurse. 2013 Aug;45(1):114-25. doi: 10.5172/conu.2013.45.1.114.","Foureur M","Contemp Nurse","2013","2013/10/09","","","10.5172/conu.2013.45.1.114"
"28053898","Aromatherapy with two essential oils from Satureja genre and mindfulness meditation to reduce anxiety in humans","Soto-Vásquez MR, Alvarado-García PA.","J Tradit Complement Med. 2016 Jun 27;7(1):121-125. doi: 10.1016/j.jtcme.2016.06.003. eCollection 2017 Jan.","Soto-Vásquez MR","J Tradit Complement Med","2016","2017/01/06","PMC5198818","","10.1016/j.jtcme.2016.06.003"
"33052251","The Impact of App-Delivered Mindfulness Meditation on Functional Connectivity and Self-Reported Mindfulness Among Health Profession Trainees","Smith JL, Allen JW, Haack C, Wehrmeyer K, Alden K, Lund MB, Mascaro JS.","Mindfulness (N Y). 2020 Oct 7:1-15. doi: 10.1007/s12671-020-01502-7. Online ahead of print.","Smith JL","Mindfulness (N Y)","2020","2020/10/14","PMC7543678","","10.1007/s12671-020-01502-7"
"29131084","Mindfulness-Based Cognitive Therapy as a Treatment for Chronic Tinnitus: A Randomized Controlled Trial","McKenna L, Marks EM, Hallsworth CA, Schaette R.","Psychother Psychosom. 2017;86(6):351-361. doi: 10.1159/000478267. Epub 2017 Nov 3.","McKenna L","Psychother Psychosom","2017","2017/11/14","","","10.1159/000478267"
"30012384","Correlations between brain changes and pain management after cognitive and meditative therapies: A systematic review of neuroimaging studies","Nascimento SS, Oliveira LR, DeSantana JM.","Complement Ther Med. 2018 Aug;39:137-145. doi: 10.1016/j.ctim.2018.06.006. Epub 2018 Jun 19.","Nascimento SS","Complement Ther Med","2018","2018/07/18","","","10.1016/j.ctim.2018.06.006"
"32818325","Randomized trial of cognitive behaviour group therapy and a mindfulness-based intervention for social anxiety disorder: Preliminary findings","Koszycki D, Guérin E, DiMillo J, Bradwejn J.","Clin Psychol Psychother. 2020 Aug 20. doi: 10.1002/cpp.2502. Online ahead of print.","Koszycki D","Clin Psychol Psychother","2020","2020/08/21","","","10.1002/cpp.2502"
"23260618","A randomized controlled trial of the effects of brief mindfulness meditation on anxiety symptoms and systolic blood pressure in Chinese nursing students","Chen Y, Yang X, Wang L, Zhang X.","Nurse Educ Today. 2013 Oct;33(10):1166-72. doi: 10.1016/j.nedt.2012.11.014. Epub 2012 Dec 20.","Chen Y","Nurse Educ Today","2013","2012/12/25","","","10.1016/j.nedt.2012.11.014"
"31452038","Effects of a Required Large-Group Mindfulness Meditation Course on First-Year Medical Students' Mental Health and Quality of Life: a Randomized Controlled Trial","Damião Neto A, Lucchetti ALG, da Silva Ezequiel O, Lucchetti G.","J Gen Intern Med. 2020 Mar;35(3):672-678. doi: 10.1007/s11606-019-05284-0. Epub 2019 Aug 26.","Damião Neto A","J Gen Intern Med","2020","2019/08/28","PMC7080902","","10.1007/s11606-019-05284-0"
"33049431","The efficacy of mindfulness meditation apps in enhancing users' well-being and mental health related outcomes: a meta-analysis of randomized controlled trials","Gál É, Ștefan S, Cristea IA.","J Affect Disord. 2021 Jan 15;279:131-142. doi: 10.1016/j.jad.2020.09.134. Epub 2020 Oct 7.","Gál É","J Affect Disord","2021","2020/10/13","","","10.1016/j.jad.2020.09.134"
"27145355","Feasibility, acceptability and preliminary psychological benefits of mindfulness meditation training in a sample of men diagnosed with prostate cancer on active surveillance: results from a randomized controlled pilot trial","Victorson D, Hankin V, Burns J, Weiland R, Maletich C, Sufrin N, Schuette S, Gutierrez B, Brendler C.","Psychooncology. 2017 Aug;26(8):1155-1163. doi: 10.1002/pon.4135. Epub 2016 May 3.","Victorson D","Psychooncology","2017","2016/05/05","","","10.1002/pon.4135"
"31741252","Vibrator-Assisted Start-Stop Exercises Improve Premature Ejaculation Symptoms: A Randomized Controlled Trial","Ventus D, Gunst A, Arver S, Dhejne C, Öberg KG, Zamore-Söderström E, Kärnä A, Jern P.","Arch Sex Behav. 2020 Jul;49(5):1559-1573. doi: 10.1007/s10508-019-01520-0. Epub 2019 Nov 18.","Ventus D","Arch Sex Behav","2020","2019/11/20","PMC7300103","","10.1007/s10508-019-01520-0"
"30695166","Effects of an Online Mindfulness Intervention Focusing on Attention Monitoring and Acceptance in Pregnant Women: A Randomized Controlled Trial","Yang M, Jia G, Sun S, Ye C, Zhang R, Yu X.","J Midwifery Womens Health. 2019 Jan;64(1):68-77. doi: 10.1111/jmwh.12944.","Yang M","J Midwifery Womens Health","2019","2019/01/30","","","10.1111/jmwh.12944"
"23131367","Argentine tango dance compared to mindfulness meditation and a waiting-list control: a randomised trial for treating depression","Pinniger R, Brown RF, Thorsteinsson EB, McKinley P.","Complement Ther Med. 2012 Dec;20(6):377-84. doi: 10.1016/j.ctim.2012.07.003. Epub 2012 Aug 3.","Pinniger R","Complement Ther Med","2012","2012/11/08","","","10.1016/j.ctim.2012.07.003"
"21146930","Treating fibromyalgia with mindfulness-based stress reduction: results from a 3-armed randomized controlled trial","Schmidt S, Grossman P, Schwarzer B, Jena S, Naumann J, Walach H.","Pain. 2011 Feb;152(2):361-369. doi: 10.1016/j.pain.2010.10.043. Epub 2010 Dec 13.","Schmidt S","Pain","2011","2010/12/15","","","10.1016/j.pain.2010.10.043"
"30322793","A Randomized Controlled Trial of Brief Mindfulness Meditation for Women Undergoing Stereotactic Breast Biopsy","Ratcliff CG, Prinsloo S, Chaoul A, Zepeda SG, Cannon R, Spelman A, Yang WT, Cohen L.","J Am Coll Radiol. 2019 May;16(5):691-699. doi: 10.1016/j.jacr.2018.09.009. Epub 2018 Oct 12.","Ratcliff CG","J Am Coll Radiol","2019","2018/10/17","","","10.1016/j.jacr.2018.09.009"
"28357966","A randomised controlled study of mindfulness meditation versus relaxation therapy in the management of tinnitus","Arif M, Sadlier M, Rajenderkumar D, James J, Tahir T.","J Laryngol Otol. 2017 Jun;131(6):501-507. doi: 10.1017/S002221511700069X. Epub 2017 Mar 30.","Arif M","J Laryngol Otol","2017","2017/03/31","","","10.1017/S002221511700069X"
"33347390","Consider the Source: Examining Attrition Rates, Response Rates, and Preliminary Effects of eHealth Mindfulness Messages and Delivery Framing in a Randomized Trial with Young Adult Cancer Survivors","Murphy KM, Burns J, Victorson D.","J Adolesc Young Adult Oncol. 2020 Dec 21. doi: 10.1089/jayao.2020.0102. Online ahead of print.","Murphy KM","J Adolesc Young Adult Oncol","2020","2020/12/21","","","10.1089/jayao.2020.0102"
"32807249","Prevalence of harm in mindfulness-based stress reduction","Hirshberg MJ, Goldberg SB, Rosenkranz M, Davidson RJ.","Psychol Med. 2020 Aug 18:1-9. doi: 10.1017/S0033291720002834. Online ahead of print.","Hirshberg MJ","Psychol Med","2020","2020/08/19","","","10.1017/S0033291720002834"
"29441038","When Did Coloring Books Become Mindful? Exploring the Effectiveness of a Novel Method of Mindfulness-Guided Instructions for Coloring Books to Increase Mindfulness and Decrease Anxiety","Mantzios M, Giannou K.","Front Psychol. 2018 Jan 30;9:56. doi: 10.3389/fpsyg.2018.00056. eCollection 2018.","Mantzios M","Front Psychol","2018","2018/02/15","PMC5797627","","10.3389/fpsyg.2018.00056"
"30100934","A Randomised Controlled Trial of a Brief Online Mindfulness-Based Intervention in a Non-clinical Population: Replication and Extension","Cavanagh K, Churchard A, O'Hanlon P, Mundy T, Votolato P, Jones F, Gu J, Strauss C.","Mindfulness (N Y). 2018;9(4):1191-1205. doi: 10.1007/s12671-017-0856-1. Epub 2018 Jan 16.","Cavanagh K","Mindfulness (N Y)","2018","2018/08/14","PMC6061247","","10.1007/s12671-017-0856-1"
"32700828","Hippocampal circuits underlie improvements in self-reported anxiety following mindfulness training","Sevinc G, Greenberg J, Hölzel BK, Gard T, Calahan T, Brunsch V, Hashmi JA, Vangel M, Orr SP, Milad MR, Lazar SW.","Brain Behav. 2020 Sep;10(9):e01766. doi: 10.1002/brb3.1766. Epub 2020 Jul 23.","Sevinc G","Brain Behav","2020","2020/07/24","PMC7507558","","10.1002/brb3.1766"
"28238679","How Does Paying Attention Improve Sexual Functioning in Women? A Review of Mechanisms","Arora N, Brotto LA.","Sex Med Rev. 2017 Jul;5(3):266-274. doi: 10.1016/j.sxmr.2017.01.005. Epub 2017 Feb 24.","Arora N","Sex Med Rev","2017","2017/02/28","","","10.1016/j.sxmr.2017.01.005"
"32378922","Mindfulness training for emotion dysregulation in multiple sclerosis: A pilot randomized controlled trial","Schirda B, Duraney E, Lee HK, Manglani HR, Andridge RR, Plate A, Nicholas JA, Prakash RS.","Rehabil Psychol. 2020 Aug;65(3):206-218. doi: 10.1037/rep0000324. Epub 2020 May 7.","Schirda B","Rehabil Psychol","2020","2020/05/08","","","10.1037/rep0000324"
"33384619","Impact of a Combined Philosophy and Mindfulness Intervention on Positive and Negative Indicators of Mental Health Among Pre-kindergarten Children: Results From a Pilot and Feasibility Study","Malboeuf-Hurtubise C, Lefrançois D, Mageau GA, Taylor G, Éthier MA, Gagnon M, DiTomaso C.","Front Psychiatry. 2020 Dec 11;11:510320. doi: 10.3389/fpsyt.2020.510320. eCollection 2020.","Malboeuf-Hurtubise C","Front Psychiatry","2020","2021/01/01","PMC7771516","","10.3389/fpsyt.2020.510320"
"32871687","Effectiveness of an alternative intervention in the treatment of depressive symptoms","Cardozo-Batista L, Tucci AM.","J Affect Disord. 2020 Nov 1;276:562-569. doi: 10.1016/j.jad.2020.06.060. Epub 2020 Jul 15.","Cardozo-Batista L","J Affect Disord","2020","2020/09/03","","","10.1016/j.jad.2020.06.060"
"26575299","Mindfulness-based cognitive therapy for residual depressive symptoms and relapse prophylaxis","Segal ZV, Walsh KM.","Curr Opin Psychiatry. 2016 Jan;29(1):7-12. doi: 10.1097/YCO.0000000000000216.","Segal ZV","Curr Opin Psychiatry","2016","2015/11/18","PMC4706736","NIHMS747542","10.1097/YCO.0000000000000216"
"32944276","Online prenatal trial in mindfulness sleep management (OPTIMISM): protocol for a pilot randomized controlled trial","Kantrowitz-Gordon I, McCurry SM, Landis CA, Lee R, Wi D.","Pilot Feasibility Stud. 2020 Sep 14;6:128. doi: 10.1186/s40814-020-00675-1. eCollection 2020.","Kantrowitz-Gordon I","Pilot Feasibility Stud","2020","2020/09/18","PMC7488736","","10.1186/s40814-020-00675-1"
"29485319","Online meditation training for people with multiple sclerosis: A randomized controlled trial","Cavalera C, Rovaris M, Mendozzi L, Pugnetti L, Garegnani M, Castelnuovo G, Molinari E, Pagnini F.","Mult Scler. 2019 Apr;25(4):610-617. doi: 10.1177/1352458518761187. Epub 2018 Feb 27.","Cavalera C","Mult Scler","2019","2018/02/28","","","10.1177/1352458518761187"
"29179137","Group Metacognitive Therapy vs. Mindfulness Meditation Therapy in a Transdiagnostic Patient Sample: A Randomised Feasibility Trial","Capobianco L, Reeves D, Morrison AP, Wells A.","Psychiatry Res. 2018 Jan;259:554-561. doi: 10.1016/j.psychres.2017.11.045. Epub 2017 Nov 21.","Capobianco L","Psychiatry Res","2018","2017/11/28","","","10.1016/j.psychres.2017.11.045"
"16437509","Meditation therapy for anxiety disorders","Krisanaprakornkit T, Krisanaprakornkit W, Piyavhatkul N, Laopaiboon M.","Cochrane Database Syst Rev. 2006 Jan 25;(1):CD004998. doi: 10.1002/14651858.CD004998.pub2.","Krisanaprakornkit T","Cochrane Database Syst Rev","2006","2006/01/27","","","10.1002/14651858.CD004998.pub2"
"31906903","Study protocol for a randomized control trial to investigate the effectiveness of an 8-week mindfulness-integrated cognitive behavior therapy (MiCBT) transdiagnostic group intervention for primary care patients","Frances S, Shawyer F, Cayoun B, Enticott J, Meadows G.","BMC Psychiatry. 2020 Jan 6;20(1):7. doi: 10.1186/s12888-019-2411-1.","Frances S","BMC Psychiatry","2020","2020/01/08","PMC6945698","","10.1186/s12888-019-2411-1"
"28851238","The effects of four days of intensive mindfulness meditation training (Templestay program) on resilience to stress: a randomized controlled trial","Hwang WJ, Lee TY, Lim KO, Bae D, Kwak S, Park HY, Kwon JS.","Psychol Health Med. 2018 Jun;23(5):497-504. doi: 10.1080/13548506.2017.1363400. Epub 2017 Aug 29.","Hwang WJ","Psychol Health Med","2018","2017/08/31","","","10.1080/13548506.2017.1363400"
"11020090","A randomized, wait-list controlled clinical trial: the effect of a mindfulness meditation-based stress reduction program on mood and symptoms of stress in cancer outpatients","Speca M, Carlson LE, Goodey E, Angen M.","Psychosom Med. 2000 Sep-Oct;62(5):613-22. doi: 10.1097/00006842-200009000-00004.","Speca M","Psychosom Med","2000","2000/10/06","","","10.1097/00006842-200009000-00004"
"24501780","Meditation Programs for Psychological Stress and Well-Being","Goyal M, Singh S, Sibinga EMS, Gould NF, Rowland-Seymour A, Sharma R, Berger Z, Sleicher D, Maron DD, Shihab HM, Ranasinghe PD, Linn S, Saha S, Bass EB, Haythornthwaite JA.","Rockville (MD): Agency for Healthcare Research and Quality (US); 2014 Jan. Report No.: 13(14)-EHC116-EF.","Goyal M","Meditation Programs for Psychological Stress and Well-Being","2014","2014/01/01","","",""
"24930819","A randomized controlled pilot trial of classroom-based mindfulness meditation compared to an active control condition in sixth-grade children","Britton WB, Lepp NE, Niles HF, Rocha T, Fisher NE, Gold JS.","J Sch Psychol. 2014 Jun;52(3):263-78. doi: 10.1016/j.jsp.2014.03.002. Epub 2014 Apr 27.","Britton WB","J Sch Psychol","2014","2014/06/17","PMC4060047","NIHMS590209","10.1016/j.jsp.2014.03.002"
"30388950","A randomized controlled trial of the effects of mindfulness practice on doctoral candidate psychological status","Barry KM, Woods M, Martin A, Stirling C, Warnecke E.","J Am Coll Health. 2019 May-Jun;67(4):299-307. doi: 10.1080/07448481.2018.1515760. Epub 2018 Nov 2.","Barry KM","J Am Coll Health","2019","2018/11/04","","","10.1080/07448481.2018.1515760"
"24180264","Randomised controlled pilot trial of mindfulness training for stress reduction during pregnancy","Guardino CM, Dunkel Schetter C, Bower JE, Lu MC, Smalley SL.","Psychol Health. 2014;29(3):334-49. doi: 10.1080/08870446.2013.852670. Epub 2013 Nov 1.","Guardino CM","Psychol Health","2014","2013/11/05","PMC4160533","NIHMS622385","10.1080/08870446.2013.852670"
"19254938","Mindfulness meditation training to reduce symptom distress in transplant patients: rationale, design, and experience with a recycled waitlist","Gross CR, Kreitzer MJ, Reilly-Spong M, Winbush NY, Schomaker EK, Thomas W.","Clin Trials. 2009 Feb;6(1):76-89. doi: 10.1177/1740774508100982.","Gross CR","Clin Trials","2009","2009/03/04","PMC2818773","NIHMS166576","10.1177/1740774508100982"
"28923751","Effects of mindfulness training on emotional and physiologic recovery from induced negative affect","Crosswell AD, Moreno PI, Raposa EB, Motivala SJ, Stanton AL, Ganz PA, Bower JE.","Psychoneuroendocrinology. 2017 Dec;86:78-86. doi: 10.1016/j.psyneuen.2017.08.003. Epub 2017 Aug 4.","Crosswell AD","Psychoneuroendocrinology","2017","2017/09/20","PMC5854159","NIHMS906690","10.1016/j.psyneuen.2017.08.003"
"28316355","Change in Decentering Mediates Improvement in Anxiety in Mindfulness-Based Stress Reduction for Generalized Anxiety Disorder","Hoge EA, Bui E, Goetter E, Robinaugh DJ, Ojserkis RA, Fresco DM, Simon NM.","Cognit Ther Res. 2015 Apr;39(2):228-235. doi: 10.1007/s10608-014-9646-4. Epub 2014 Oct 14.","Hoge EA","Cognit Ther Res","2015","2017/03/21","PMC5354303","NIHMS635177","10.1007/s10608-014-9646-4"
"23876566","The Chinese medicine construct ""stagnation"" in mind-body connection mediates the effects of mindfulness training on depression and anxiety","Lo HH, Ng SM, Chan CL, Lam KF, Lau BH.","Complement Ther Med. 2013 Aug;21(4):348-57. doi: 10.1016/j.ctim.2013.05.008. Epub 2013 Jun 25.","Lo HH","Complement Ther Med","2013","2013/07/24","","","10.1016/j.ctim.2013.05.008"
"33457344","Evaluation of the Effects of 12 Weeks Mindfulness-Based Stress Reduction on Glycemic Control and Mental Health Indices in Women with Diabetes Mellitus Type 2","Nikkhah Ravari O, Mousavi SZ, Babak A.","Adv Biomed Res. 2020 Oct 30;9:61. doi: 10.4103/abr.abr_133_20. eCollection 2020.","Nikkhah Ravari O","Adv Biomed Res","2020","2021/01/18","PMC7792882","","10.4103/abr.abr_133_20"
